id,risorsa,keywords,categoria
517,Introduction to eigenvalues and eigenvectors,"eigenvalues ,engineering",Probability and Statistics
518,Constructing and using the eigenvector basis,engineering,Probability and Statistics
519,Function space vs. real space methods for partial differential equations (PDEs),"differential equations ,engineering ,function",Probability and Statistics
520,Function space,"engineering ,function",Probability and Statistics
521,Numerical calculation of eigenvalues and eigenvectors Singular value decomposition (SVD),"eigenvalues ,engineering",Probability and Statistics
522,Ordinary differential equation - initial value problems (ODE-IVP) and numerical integration,engineering,Probability and Statistics
523,Stiffness MATLAB® ordinary differential equation (ODE) solvers,engineering,Probability and Statistics
524,Implicit ordinary differential equation (ODE) solvers Shooting,engineering,Probability and Statistics
525,Differential algebraic equations (DAEs) Introduction: Optimization,"engineering ,optimization",Probability and Statistics
526,Unconstrained optimization,"engineering ,optimization",Probability and Statistics
527,Constrained Optimization,"engineering ,optimization",Probability and Statistics
528,Optimization Sensitivity analysis Introduction: Boundary value problems (BVPs),"analysis ,engineering ,optimization ,sensitivity analysis",Probability and Statistics
529,Boundary value problems (BVPs) lecture 2,engineering,Probability and Statistics
530,"Boundary value problems (BVPs) lecture 3: Finite differences, method of lines, and finite elements",engineering,Probability and Statistics
531,"TA tutorial on BVPs, FEMLAB®",engineering,Probability and Statistics
532,Introduction: Models vs. Data,"data ,engineering ,models",Probability and Statistics
533,Models vs. Data lecture 2: Bayesian view,"bayesian ,data ,engineering ,models",Probability and Statistics
534,Uncertainties in model predictions,"engineering ,model",Probability and Statistics
535,Conclude models vs. data,"data ,engineering ,models",Probability and Statistics
536,TA led review 1,engineering,Probability and Statistics
537,TA led review 2,engineering,Probability and Statistics
538,Models vs. Data recapitulation Monte Carlo and molecular dynamics,"data ,engineering ,models ,molecular",Probability and Statistics
539,Guest lecture on Monte Carlo / molecular dynamics: Frederick Bernardin 1,"engineering ,molecular",Probability and Statistics
540,Guest lecture on Monte Carlo / molecular dynamics: Frederick Bernardin 2,"engineering ,molecular",Probability and Statistics
541,Global optimization Multiple minima,"engineering ,optimization",Probability and Statistics
542,Modeling intrinsically stochastic processes Multiscale modeling,"engineering ,modeling ,stochastic ,stochastic processes",Probability and Statistics
543,Fluctuation-dissipation theorem,engineering,Probability and Statistics
544,Kinetic Monte Carlo and turbulence modeling,"engineering ,modeling",Probability and Statistics
545,Operator splitting Strang splitting,engineering,Probability and Statistics
546,Fourier transforms Fast fourier transform (FFT),"engineering ,fft ,fourier ,fourier transform ,transforms",Probability and Statistics
547,Summary: Problem solving,"engineering ,problem solving",Probability and Statistics
548,TA led final review 1,engineering,Probability and Statistics
549,TA led final review 2,engineering,Probability and Statistics
550,Measures,theory,Probability and Statistics
551,Chebyshev''s Inequality,theory,Probability and Statistics
552,Law of Large Numbers,theory,Probability and Statistics
553,Measurable Functions,"analysis ,applications ,fourier ,functions ,mathematics ,theory",Probability and Statistics
554,The Integral,"analysis ,applications ,fourier ,mathematics ,theory",Probability and Statistics
555,Linearity,"analysis ,applications ,fourier ,mathematics ,theory",Probability and Statistics
556,Fatou''s Lemma,theory,Probability and Statistics
557,Integrable Functions,theory,Probability and Statistics
558,Bessel''s Inequality,theory,Probability and Statistics
559,Convergence of Fourier Series,"analysis ,applications ,fourier ,fourier series ,mathematics ,theory",Probability and Statistics
560,Completeness,theory,Probability and Statistics
561,Riesz Representation Theorem,"analysis ,applications ,fourier ,mathematics ,representation ,theory",Probability and Statistics
562,Schwartz Functions,theory,Probability and Statistics
563,Fourier Transform,theory,Probability and Statistics
564,Approximation,theory,Probability and Statistics
565,Harmonic Oscillator,theory,Probability and Statistics
566,Completeness of Eigenfunctions,theory,Probability and Statistics
567,Sobolev Spaces,theory,Probability and Statistics
568,Wave Equation,wave,Probability and Statistics
569,Bounded Operators,theory,Probability and Statistics
570,Compact Operators,theory,Probability and Statistics
571,Spectral Theorem,theory,Probability and Statistics
572,Hilbert-Schmidt Operators,"analysis ,applications ,fourier ,mathematics ,operators ,theory",Probability and Statistics
573,Manufacturing Systems Overview,"engineering ,manufacturing systems ,mechanical",Probability and Statistics
574,Statistics  1,"engineering ,mechanical ,statistics",Probability and Statistics
575,Statistics  2,"engineering ,mechanical ,statistics",Probability and Statistics
576,Statistics  3,"engineering ,mechanical ,statistics",Probability and Statistics
577,Regression  1,"engineering ,mechanical ,regression",Probability and Statistics
578,Regression  2,"engineering ,mechanical ,regression",Probability and Statistics
579,Forecasting 1,"engineering ,forecasting ,mechanical",Probability and Statistics
580,Forecasting 2,"engineering ,forecasting ,mechanical",Probability and Statistics
581,"Single-Stage, Multiple-Part-Type Systems","engineering ,mechanical",Probability and Statistics
582,Material Requirements Planning,"engineering ,mechanical ,planning",Probability and Statistics
583,Toyota Production System,"engineering ,mechanical",Probability and Statistics
584,Quality/Quantity,"engineering ,mechanical ,quality/quantity",Probability and Statistics
585,Descriptive statistics,"descriptive statistics ,statistics",Probability and Statistics
586,Bivariate relationships,bivariate,Probability and Statistics
587,Sampling and inference,"inference ,sampling",Probability and Statistics
588,Logic and Sets,proofs,Probability and Statistics
589,Proofs,proofs,Probability and Statistics
590,Induction I,proofs,Probability and Statistics
591,Induction II,proofs,Probability and Statistics
592,Induction III,proofs,Probability and Statistics
593,Number Theory I,proofs,Probability and Statistics
594,Number Theory II,proofs,Probability and Statistics
595,Graphs I,proofs,Probability and Statistics
596,Graphs II,proofs,Probability and Statistics
597,Summations,mathematics,Probability and Statistics
598,"Approximations, Asymptotics",mathematics,Probability and Statistics
599,Recurrences,mathematics,Probability and Statistics
600,Counting I,relations,Probability and Statistics
601,Counting II,relations,Probability and Statistics
602,Counting III,relations,Probability and Statistics
603,Generating Functions,sets,Probability and Statistics
604,Probability,sets,Probability and Statistics
605,Conditional Probability,sets,Probability and Statistics
606,Random Variables and Distributions,mathematics,Probability and Statistics
607,Expectation I,mathematics,Probability and Statistics
608,Expectation II,"computer ,engineering ,expectation ,mathematics ,computer ,engineering ,mathematics ,relations ,paradox ,theory",Probability and Statistics
609,Random Walks,"computer ,engineering ,mathematics ,random walks ,computer ,engineering ,mathematics ,relations ,paradox ,theory",Probability and Statistics
610,Special Topics,"computer ,engineering ,mathematics ,computer ,engineering ,mathematics ,relations ,paradox ,theory",Probability and Statistics
611,The Hermite Ensemble: Wigner''s Semi-Circle Law 1,"ensemble ,law ,mathematics ,the hermite ensemble ,theory ,wigner's semi-circle law",Probability and Statistics
612,The Hermite Ensemble: Wigner''s Semi-Circle Law 2,"ensemble ,law ,mathematics ,the hermite ensemble ,theory ,wigner's semi-circle law",Probability and Statistics
613,The Laguerre Ensemble: Marcenko-Pastur Theorem,"ensemble ,marcenko-pastur theorem ,mathematics ,the laguerre ensemble ,theory",Probability and Statistics
614,The Semi-Circular Element: Central Limit Theorem for Infinite Random Matrices,"central limit theorem ,infinite random matrices ,limit theorem ,mathematics ,matrices ,theory",Probability and Statistics
615,Free Cumulants in Free Probability 1,"free cumulants ,free cumulants in free probability ,free probability ,mathematics ,probability ,theory",Probability and Statistics
616,Free Cumulants in Free Probability 2,"free cumulants ,free cumulants in free probability ,free probability ,mathematics ,probability ,theory",Probability and Statistics
617,Free Cumulants in Free Probability 3,"free cumulants ,free cumulants in free probability ,free probability ,mathematics ,probability ,theory",Probability and Statistics
618,"Stationarity, lag operator, ARMA, and covariance structure","analysis ,arma ,covariance ,economics ,structure",Probability and Statistics
619,"Limit theorems, OLS, and HAC","analysis ,economics ,limit theorems ,ols",Probability and Statistics
620,More HAC and intro to spectrum,"analysis ,economics",Probability and Statistics
621,Spectrum,"analysis ,economics",Probability and Statistics
622,Spectrum estimation and information criteria,"analysis ,economics ,estimation ,information",Probability and Statistics
623,GMM,"analysis ,economics ,gmm",Probability and Statistics
624,Weak IV,"analysis ,economics",Probability and Statistics
625,Bootstrap,"analysis ,bootstrap ,economics",Probability and Statistics
626,Introduction to VARs,"analysis ,economics",Probability and Statistics
627,VARs,"analysis ,economics",Probability and Statistics
628,Structural VARs,"analysis ,economics",Probability and Statistics
629,Factor models,"analysis ,economics ,models",Probability and Statistics
630,Factor models part 2,"analysis ,economics ,models",Probability and Statistics
631,Empirical processes,"analysis ,economics",Probability and Statistics
632,Breaks and cointegration,"analysis ,economics",Probability and Statistics
633,Cointegration,"analysis ,economics",Probability and Statistics
634,"Filtering, state space models, Kalman filter","analysis ,economics",Probability and Statistics
635,"State-space models, ML estimation, DSGE models","analysis ,economics ,filtering ,kalman ,kalman filter ,models ,state space",Probability and Statistics
636,"Intro to Bayes approach, reasons to be Bayesian","analysis ,economics ,estimation ,models",Probability and Statistics
637,MCMC: Metropolis Hastings Algorithm,"analysis ,bayes ,bayesian ,economics",Probability and Statistics
638,MCMC: Gibbs sampling,"analysis ,economics",Probability and Statistics
639,"Newey, Generalized Method of Moments","econometric ,economics ,generalized method of moments",Probability and Statistics
640,"Newey, Nonparametric and Semiparametric Estimation","econometric ,economics ,estimation ,nonparametric ,semiparametric estimation",Probability and Statistics
641,Locally linear progression,"econometric ,economics ,linear",Probability and Statistics
642,"Newey, Treatment Effects","econometric ,economics ,treatment effects",Probability and Statistics
643,"Newey, Nonlinear Models in Panel Data","data ,econometric ,economics ,models ,nonlinear ,nonlinear models ,panel data",Probability and Statistics
644,"Methods for nonlinear models: maximum likelihood estimation (MLE), generalized method of moments (GMM), minimum distance, extremum","analysis ,econometric ,economics ,estimation ,extremum ,generalized method of moments ,gmm ,likelihood ,maximum likelihood ,maximum likelihood estimation ,minimum distance ,mle ,models ,nonlinear ,nonlinear models",Probability and Statistics
645,"Large sample theory, asymptotic theory, discrete choice, censoring, and sample selection 1","analysis ,asymptotic theory ,censoring ,discrete ,discrete choice ,econometric ,economics ,large sample theory ,nonlinear ,sample ,sample selection ,selection ,theory",Probability and Statistics
646,"Large sample theory, asymptotic theory, discrete choice, censoring, and sample selection 2","analysis ,asymptotic theory ,censoring ,discrete ,discrete choice ,econometric ,economics ,large sample theory ,nonlinear ,sample ,sample selection ,selection ,theory",Probability and Statistics
647,"Large sample theory, asymptotic theory, discrete choice, censoring, and sample selection 3","analysis ,asymptotic theory ,censoring ,discrete ,discrete choice ,econometric ,economics ,large sample theory ,nonlinear ,sample ,sample selection ,selection ,theory",Probability and Statistics
648,"Large sample theory, asymptotic theory, discrete choice, censoring, and sample selection 4","analysis ,asymptotic theory ,censoring ,discrete ,discrete choice ,econometric ,economics ,large sample theory ,nonlinear ,sample ,sample selection ,selection ,theory",Probability and Statistics
649,"Bootstrap, subsampling, and finite-sample methods 1","analysis ,bootstrap ,econometric ,economics ,finite-sample methods ,nonlinear ,sample ,subsampling",Probability and Statistics
650,"Bootstrap, subsampling, and finite-sample methods 2","analysis ,bootstrap ,econometric ,economics ,finite-sample methods ,nonlinear ,sample ,subsampling",Probability and Statistics
651,Quantile regression (QR) and distributional methods 1,"analysis ,distributional methods ,econometric ,economics ,nonlinear ,qr ,quantile regression ,regression",Probability and Statistics
652,Quantile regression (QR) and distributional methods 2,"analysis ,distributional methods ,econometric ,economics ,nonlinear ,qr ,quantile regression ,regression",Probability and Statistics
653,Bayesian and quasi-Bayesian methods (from a classical view),"analysis ,bayesian ,bayesian methods ,econometric ,economics ,nonlinear ,quasi-bayesian methods",Probability and Statistics
654,Bounds and partial identification,"analysis ,bounds ,econometric ,economics ,identification ,nonlinear ,partial identification",Probability and Statistics
655,"GMM: identification, estimation, testing, bias, selecting moments 1","analysis ,econometric ,economics ,estimation ,gmm ,identification ,nonlinear",Probability and Statistics
656,"GMM: identification, estimation, testing, bias, selecting moments 2","analysis ,econometric ,economics ,estimation ,gmm ,identification ,nonlinear",Probability and Statistics
657,"GMM: identification, estimation, testing, bias, selecting moments 3","analysis ,econometric ,economics ,estimation ,gmm ,identification ,nonlinear",Probability and Statistics
658,Nonparametric estimation 2,"analysis ,econometric ,economics ,estimation ,nonlinear ,semiparametric estimation",Probability and Statistics
659,Nonparametric estimation 3,"analysis ,econometric ,economics ,estimation ,nonlinear ,nonparametric ,nonparametric estimation",Probability and Statistics
660,Semiparametric estimation 1,"analysis ,econometric ,economics ,estimation ,nonlinear ,nonparametric ,nonparametric estimation",Probability and Statistics
661,Semiparametric estimation 2,"analysis ,econometric ,economics ,estimation ,nonlinear ,semiparametric estimation",Probability and Statistics
662,Treatment effects 1,"analysis ,econometric ,economics ,nonlinear ,treatment effects",Probability and Statistics
663,Treatment effects 2,"analysis ,econometric ,economics ,nonlinear ,treatment effects",Probability and Statistics
664,Treatment effects 3,"analysis ,econometric ,economics ,nonlinear ,treatment effects",Probability and Statistics
665,Nonlinear models in panel data,"analysis ,data ,econometric ,economics ,models ,nonlinear ,nonlinear models ,panel data",Probability and Statistics
666,Economic modeling and econometrics,"analysis ,econometric ,econometrics ,economic modeling ,economics ,modeling ,nonlinear",Probability and Statistics
667,Permutations and combinations,"combinations ,mathematics ,permutations ,permutations and combinations ,probability ,variables",Probability and Statistics
668,Multinomial coefficients and more counting,variables,Probability and Statistics
669,Sample spaces and set theory,variables,Probability and Statistics
670,Axioms of probability,variables,Probability and Statistics
671,Probability and equal likelihood,variables,Probability and Statistics
672,Conditional probabilities,variables,Probability and Statistics
673,Bayes'' formula and independent events,variables,Probability and Statistics
674,Discrete random variables,"discrete ,discrete random variables ,mathematics ,probability ,random variables ,variables",Probability and Statistics
675,Expectations of discrete random variables,variables,Probability and Statistics
676,Variance,"mathematics ,probability ,variables ,variance",Probability and Statistics
677,"Binomial random variables, repeated trials and the so-called Modern Portfolio Theory",variables,Probability and Statistics
678,Poisson random variables,"mathematics ,poisson ,probability ,random variables ,variables",Probability and Statistics
679,Poisson processes,"mathematics ,poisson ,poisson processes ,probability ,variables",Probability and Statistics
680,More discrete random variables,"discrete ,discrete random variables ,mathematics ,probability ,random variables ,variables",Probability and Statistics
681,Continuous random variables,"continuous random variables ,mathematics ,probability ,random variables ,variables",Probability and Statistics
682,Review for Midterm Exam 1,"mathematics ,probability ,variables",Probability and Statistics
683,Uniform random variables,"mathematics ,probability ,random variables ,uniform ,variables",Probability and Statistics
684,Normal random variables,"mathematics ,normal ,probability ,random variables ,variables",Probability and Statistics
685,Exponential random variables,"exponential ,mathematics ,probability ,random variables ,variables",Probability and Statistics
686,More continuous random variables,"continuous random variables ,mathematics ,probability ,random variables ,variables",Probability and Statistics
687,Joint distribution functions,"distribution ,distribution functions ,functions ,mathematics ,probability ,variables",Probability and Statistics
688,Sums of independent random variables,"mathematics ,probability ,random variables ,variables",Probability and Statistics
689,Expectation of sums,"expectation ,mathematics ,probability ,variables",Probability and Statistics
690,Covariance,"covariance ,mathematics ,probability ,variables",Probability and Statistics
691,Conditional expectation,"conditional ,expectation ,mathematics ,probability ,variables",Probability and Statistics
692,Moment generating distributions,"distributions ,mathematics ,probability ,variables",Probability and Statistics
693,Review for Midterm Exam 2,"mathematics ,probability ,variables",Probability and Statistics
694,Weak law of large numbers,"law ,law of large numbers ,mathematics ,probability ,variables",Probability and Statistics
695,Central limit theorem,"central limit theorem ,limit theorem ,mathematics ,probability ,variables",Probability and Statistics
696,Strong law of large numbers and Jensen''s inequality,variables,Probability and Statistics
697,Markov chains,probability,Probability and Statistics
698,Entropy,"entropy ,mathematics ,probability ,variables",Probability and Statistics
699,Martingales and the Optional Stopping Time Theorem,"martingales ,mathematics ,probability ,variables",Probability and Statistics
700,Risk Neutral Probability and Black-Scholes,"mathematics ,probability ,risk ,variables",Probability and Statistics
701,Review for Final Exam 1,"mathematics ,probability ,variables",Probability and Statistics
702,Review for Final Exam 2,"mathematics ,probability ,variables",Probability and Statistics
703,Review for Final Exam 3,"mathematics ,probability ,variables",Probability and Statistics
704,Metric spaces and topology,"management ,stochastic",Probability and Statistics
705,Large deviations for i.i.d. random variables,"large deviations ,management ,random variables ,stochastic ,variables",Probability and Statistics
706,Large deviations theory Cramér''s theorem,"large deviations ,large deviations theory ,management ,stochastic ,theory",Probability and Statistics
707,Applications of the large deviations technique,"applications ,large deviations ,management ,stochastic",Probability and Statistics
708,Extension of LD to R^d and dependent process Gartner-Ellis theorem,"management ,stochastic",Probability and Statistics
709,Introduction to Brownian motion,"brownian motion ,management ,stochastic",Probability and Statistics
710,The reflection principle The distribution of the maximum Brownian motion with drift,"brownian motion ,distribution ,management ,stochastic",Probability and Statistics
711,Quadratic variation property of Brownian motion,"brownian motion ,management ,stochastic",Probability and Statistics
712,"Conditional expectations, filtration and martingales","conditional ,expectations ,filtration ,management ,martingales ,stochastic",Probability and Statistics
713,Martingales and stopping times I,"management ,martingales ,stochastic",Probability and Statistics
714,Martingales and stopping times II Martingale convergence theorem 1,"management ,martingales ,stochastic",Probability and Statistics
715,Martingales and stopping times II Martingale convergence theorem 2,"management ,martingales ,stochastic",Probability and Statistics
716,Martingale concentration inequalities and applications,"applications ,management ,stochastic",Probability and Statistics
717,Concentration inequalities and applications,"applications ,management ,stochastic",Probability and Statistics
718,Introduction to Ito calculus,"calculus ,ito ,ito calculus ,management ,stochastic",Probability and Statistics
719,Ito integral for simple processes,"ito ,management ,stochastic",Probability and Statistics
720,Definition and properties of Ito integral,"ito ,management ,stochastic",Probability and Statistics
721,Ito process Ito formula,"formula ,ito ,management ,stochastic",Probability and Statistics
722,Applications of Ito calculus to financial economics,"applications ,calculus ,economics ,financial economics ,ito ,ito calculus ,management ,stochastic",Probability and Statistics
723,Introduction to the theory of weak convergence,"management ,stochastic ,theory",Probability and Statistics
724,Functional law of large numbers Construction of the Wiener measure,"law ,law of large numbers ,management ,stochastic ,wiener",Probability and Statistics
725,Skorokhod mapping theorem Reflected Brownian motion,"brownian motion ,management ,reflected brownian motion ,stochastic",Probability and Statistics
726,"Probability spaces, properties of probability","mathematics ,probability ,probability spaces ,theory",Probability and Statistics
727,"Random variables and their properties, expectation","expectation ,mathematics ,probability ,random variables ,theory ,variables",Probability and Statistics
728,Kolmogorov''s theorem about consistent distributions,"distributions ,mathematics ,probability ,theory",Probability and Statistics
729,Laws of large numbers,"laws of large numbers ,mathematics ,probability ,theory",Probability and Statistics
730,"Bernstein''s polynomials, Hausdorff and de Finetti theorems","mathematics ,probability ,theory",Probability and Statistics
731,"0-1 laws, convergence of random series","mathematics ,probability ,theory",Probability and Statistics
732,"Stopping times, Wald''s identity Markov property, another proof of SLLN","markov ,mathematics ,probability ,theory",Probability and Statistics
733,"Convergence of laws, selection theorem","mathematics ,probability ,selection ,theory",Probability and Statistics
734,"Characteristic functions, central limit theorem on the real line","central limit theorem ,functions ,limit theorem ,mathematics ,probability ,theory",Probability and Statistics
735,Multivariate normal distributions and central limit theorem,"and central limit theorem ,central limit theorem ,distributions ,limit theorem ,mathematics ,multivariate ,normal ,probability ,theory",Probability and Statistics
736,Convergence of Martingales,"martingales ,mathematics ,probability ,theory ,uniform",Probability and Statistics
737,"Convergence on metric spaces, Portmanteau theorem Lipschitz functions","martingales ,mathematics ,probability ,theory",Probability and Statistics
738,"Metrics for convergence of laws, empirical measures","martingales ,mathematics ,probability ,theory",Probability and Statistics
739,Convergence and uniform tightness,"functions ,mathematics ,probability ,theory",Probability and Statistics
740,"Strassen''s theorem, relationship between metrics","mathematics ,probability ,theory",Probability and Statistics
741,Kantorovich-Rubinstein theorem,"mathematics ,probability ,theory ,uniform",Probability and Statistics
742,"Prekopa-Leindler inequality, entropy and concentration","mathematics ,probability ,theory",Probability and Statistics
743,"Stochastic processes, Brownian motion","mathematics ,probability ,theory",Probability and Statistics
744,Donsker invariance principle,"entropy ,mathematics ,probability ,theory",Probability and Statistics
745,Empirical process and Kolmogorov''s chaining,"brownian motion ,mathematics ,probability ,stochastic ,stochastic processes ,theory",Probability and Statistics
746,"Markov property of Brownian motion, reflection principles","invariance ,mathematics ,probability ,theory",Probability and Statistics
747,Laws of Brownian motion at stopping times Skorohod''s imbedding,"mathematics ,probability ,theory",Probability and Statistics
748,Laws of the iterated logarithm,"brownian motion ,markov ,mathematics ,probability ,theory",Probability and Statistics
749,Non-adaptive weighing 1,mathematics,Probability and Statistics
750,Non-adaptive weighing 2,mathematics,Probability and Statistics
751,Non-adaptive weighing 3,mathematics,Probability and Statistics
752,Sorting 1,mathematics,Probability and Statistics
753,Sorting 2,mathematics,Probability and Statistics
754,Finding the median 1,"mathematics ,median",Probability and Statistics
755,Finding the median 2,"mathematics ,median",Probability and Statistics
756,Finding the median 3,"mathematics ,median",Probability and Statistics
757,Non-adaptive sorting: Batcher''s algorithm 1,mathematics,Probability and Statistics
758,Non-adaptive sorting: Batcher''s algorithm 2,mathematics,Probability and Statistics
759,Shannon source coding: coding for efficiency 1,"efficiency ,mathematics",Probability and Statistics
760,Shannon source coding: coding for efficiency 2,"efficiency ,mathematics",Probability and Statistics
761,Huffman and Hu-Tucker algorithms; finding efficient compression 1,"algorithms ,mathematics",Probability and Statistics
762,Huffman and Hu-Tucker algorithms; finding efficient compression 2,"algorithms ,mathematics",Probability and Statistics
763,Huffman and Hu-Tucker algorithms; finding efficient compression 3,"algorithms ,mathematics",Probability and Statistics
764,Huffman and Hu-Tucker algorithms; finding efficient compression 4,"algorithms ,mathematics",Probability and Statistics
765,Huffman and Hu-Tucker algorithms; finding efficient compression 5,"algorithms ,mathematics",Probability and Statistics
766,Theory of probability 1,"mathematics ,probability ,theory",Probability and Statistics
767,Theory of probability 2,"mathematics ,probability ,theory",Probability and Statistics
768,Theory of probability 3,"mathematics ,probability ,theory",Probability and Statistics
769,Coding for error correction: the Shannon bound 1,mathematics,Probability and Statistics
770,Coding for error correction: the Shannon bound 2,mathematics,Probability and Statistics
771,Matrix hamming codes 1,mathematics,Probability and Statistics
772,Matrix hamming codes 2,mathematics,Probability and Statistics
773,Polynomial codes 1,mathematics,Probability and Statistics
774,Polynomial codes 2,mathematics,Probability and Statistics
775,Polynomial codes 3,mathematics,Probability and Statistics
776,BCH codes: constructing them and finding the syndrome of a message 1,mathematics,Probability and Statistics
777,BCH codes: constructing them and finding the syndrome of a message 2,mathematics,Probability and Statistics
778,BCH codes: constructing them and finding the syndrome of a message 3,mathematics,Probability and Statistics
779,Correcting errors in BCH codes 1,"errors ,mathematics",Probability and Statistics
780,Correcting errors in BCH codes 2,"errors ,mathematics",Probability and Statistics
781,Properties and generalizations of our BCH codes 1,mathematics,Probability and Statistics
782,Properties and generalizations of our BCH codes 2,mathematics,Probability and Statistics
783,Coding for secrecy 1,mathematics,Probability and Statistics
784,Coding for secrecy 2,mathematics,Probability and Statistics
785,Coding for secrecy 3,mathematics,Probability and Statistics
786,Secret coding 2 1,mathematics,Probability and Statistics
787,Secret coding 2 2,mathematics,Probability and Statistics
788,Factoring numbers 1,mathematics,Probability and Statistics
789,Factoring numbers 2,mathematics,Probability and Statistics
790,Quadratic sieve and elliptic curves 1,mathematics,Probability and Statistics
791,Quadratic sieve and elliptic curves 2,mathematics,Probability and Statistics
792,Some graph theory 1,"graph theory ,mathematics ,theory",Probability and Statistics
793,Some graph theory 2,"graph theory ,mathematics ,theory",Probability and Statistics
794,Some graph theory 3,"graph theory ,mathematics ,theory",Probability and Statistics
795,Some graph theory 4,"graph theory ,mathematics ,theory",Probability and Statistics
796,Planarity and coloring; matching problems 1,"coloring ,mathematics",Probability and Statistics
797,Planarity and coloring; matching problems 2,"coloring ,mathematics",Probability and Statistics
798,Planarity and coloring; matching problems 3,"coloring ,mathematics",Probability and Statistics
799,Counting trees 1,"counting ,mathematics",Probability and Statistics
800,Counting trees 2,"counting ,mathematics",Probability and Statistics
801,Counting trees 3,"counting ,mathematics",Probability and Statistics
802,Symmetries 1,mathematics,Probability and Statistics
803,Symmetries 2,mathematics,Probability and Statistics
804,Counting patterns; generating functions 1,"counting ,functions ,generating functions ,mathematics",Probability and Statistics
805,Counting patterns; generating functions 2,"counting ,functions ,generating functions ,mathematics",Probability and Statistics
806,Counting patterns; generating functions 3,"counting ,functions ,generating functions ,mathematics",Probability and Statistics
807,The finite Fourier transform 1,"fourier ,fourier transform ,mathematics",Probability and Statistics
808,The finite Fourier transform 2,"fourier ,fourier transform ,mathematics",Probability and Statistics
809,FFT and multiplication of numbers 1,"fft ,mathematics",Probability and Statistics
810,FFT and multiplication of numbers 2,"fft ,mathematics",Probability and Statistics
811,FFT and multiplication of numbers 3,"fft ,mathematics",Probability and Statistics
812,FFT and multiplication of numbers 4,"fft ,mathematics",Probability and Statistics
813,Sequential choice,mathematics,Probability and Statistics
814,Linear programming 1,"linear ,linear programming ,mathematics ,programming",Probability and Statistics
815,Linear programming 2,"linear ,linear programming ,mathematics ,programming",Probability and Statistics
816,Linear programming 3,"linear ,linear programming ,mathematics ,programming",Probability and Statistics
817,Duality in linear programming 1,"linear ,linear programming ,mathematics ,programming",Probability and Statistics
818,Duality in linear programming 2,"linear ,linear programming ,mathematics ,programming",Probability and Statistics
819,Duality in linear programming 3,"linear ,linear programming ,mathematics ,programming",Probability and Statistics
820,Duality in linear programming 4,"linear ,linear programming ,mathematics ,programming",Probability and Statistics
821,Matching 1,mathematics,Probability and Statistics
822,Matching 2,mathematics,Probability and Statistics
823,"Strassen''s fast multiplication of matrices, algorithm and spreadsheet matrix multiplications 1","mathematics ,matrices ,spreadsheet",Probability and Statistics
824,"Strassen''s fast multiplication of matrices, algorithm and spreadsheet matrix multiplications 2","mathematics ,matrices ,spreadsheet",Probability and Statistics
825,"Vector spaces, The principle of optimality, Concavity and differentiability of the value function, Euler equations, Deterministic dynamics, Models with constant returns to scale, Nonstationary models 1","applications ,deterministic dynamics ,differentiability of the value function ,economics ,euler equations ,function ,models ,models with constant returns to scale ,nonstationary models ,optimization ,principle of optimality ,vector ,vector spaces",Probability and Statistics
826,"Stochastic dynamic programming, Stochastic Euler equations, Stochastic dynamics 1","applications ,dynamic programming ,economics ,euler equations ,optimization ,programming ,stochastic ,stochastic dynamic programming ,stochastic dynamics ,stochastic euler equations",Probability and Statistics
827,"Stochastic dynamic programming, Stochastic Euler equations, Stochastic dynamics 2","applications ,dynamic programming ,economics ,euler equations ,optimization ,programming ,stochastic ,stochastic dynamic programming ,stochastic dynamics ,stochastic euler equations",Probability and Statistics
828,Introduction Random Signals Intuitive Notion of Probability Axiomatic Probability Joint and Conditional Probability,stochastic,Probability and Statistics
829,Independence Random Variables Probability Distribution and Density Functions,variables,Probability and Statistics
830,"Expectation, Averages and Characteristic Function Normal or Gaussian Random Variables Impulsive Probability Density Functions Multiple Random Variables",variables,Probability and Statistics
831,"Correlation, Covariance, and Orthogonality Sum of Independent Random Variables and Tendency Toward Normal Distribution Transformation of Random Variables",variables,Probability and Statistics
832,Some Common Distributions,"control ,distributions ,estimation ,stochastic ,control ,distributions ,estimation ,stochastic",Probability and Statistics
833,More Common Distributions Multivariate Normal Density Function Linear Transformation and General Properties of Normal Random Variables,"control ,distributions ,estimation ,function ,linear ,multivariate ,normal ,random variables ,stochastic ,variables ,control ,distributions ,estimation ,function ,linear ,multivariate ,normal ,random variables ,stochastic ,variables",Probability and Statistics
834,Linearized Error Propagation,"control ,estimation ,stochastic ,control ,estimation ,stochastic",Probability and Statistics
835,More Linearized Error Propagation,"control ,estimation ,stochastic ,control ,estimation ,stochastic",Probability and Statistics
836,"Concept of a Random Process Probabilistic Description of a Random Process Gaussian Random Process Stationarity, Ergodicity, and Classification of Processes","classification ,control ,ergodicity ,estimation ,gaussian ,random process ,stochastic ,classification ,control ,ergodicity ,estimation ,gaussian ,random process ,stochastic",Probability and Statistics
837,Autocorrelation Function Crosscorrelation Function,"autocorrelation ,control ,estimation ,function ,stochastic ,autocorrelation ,control ,estimation ,function ,stochastic",Probability and Statistics
838,Power Spectral Density Function Cross Spectral Density Function White Noise,"control ,estimation ,function ,noise ,power spectral density ,power spectral density ,stochastic ,white noise ,control ,estimation ,function ,noise ,power spectral density ,stochastic ,white noise",Probability and Statistics
